NODE_ID,IPRD_NM,PLCT_NM,NODE_TTLE,NODE_TTLE_EN,PBSH,NODE_LINK,NODE_CLSS_01,NODE_CLSS_02,AUTR_NM,KYWD,ABST_KR,ABST_EN
NODE10620197,한국로봇학회,로봇과 인간,이기종 이동형 로봇의 교통관리를 위한 Robotics Middleware Framework (RMF),,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620197,공학,전기전자공학,"권지현, 김지용, 한경엽, 박춘성",,,
NODE10620198,한국로봇학회,로봇과 인간,Visual SLAM을 통해 살펴본 SLAM 기술의 변화와 흐름,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620198,공학,전기전자공학,"최성록, 최중용, 김현주",,,
NODE10620199,대한토목학회,대한토목학회지,어울림,Harmony,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620199,공학,건축공학,김영욱,,,
NODE10620200,대한토목학회,대한토목학회지,기후변화에 대비하는 홍수대응체계 발전방향,Direction of Flood Control to Deal with Climate Change,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620200,공학,건축공학,정희규,,,
NODE10620201,대한토목학회,대한토목학회지,2021 제24회 토목의 날 개최보고,2021 Civil Engineers Day,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620201,공학,건축공학,편집부,,,
NODE10620202,대한토목학회,대한토목학회지,2021 제24회 토목의 날 수상자 명단,,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620202,공학,건축공학,편집부,,,
NODE10620203,대한토목학회,대한토목학회지,2021년도 올해의 토목구조물 선정심사를 하며,Evaluation of the Civil Structure of the Year,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620203,공학,건축공학,편집부,,,
NODE10620204,대한토목학회,대한토목학회지,대한토목학회 제29회 건설정책포럼 : ‘민간기업과 공공분야의 스마트 건설기술 현주소와 미래’,29<SUP>th</SUP> Construction Policy Forum,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620204,공학,건축공학,"김민수, 김광수, 조성민, 이상호, 김대종, 문영남, 이장균, 이정우",,,
NODE10620205,대한토목학회,대한토목학회지,바이오폴리머 제방 시리즈 4 : 바이오폴리머 소재의 식생생장 촉진 및 내한성 평가,Evaluation of Performance of Biopolymer Material for Plant-Growth Promotion and Drought-Resistance,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620205,공학,건축공학,"김은석, 안성주, 장하영, 우효섭",,,
NODE10620206,대한토목학회,대한토목학회지,조력발전(1930),Tidal Power(1930),202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620206,공학,건축공학,송원오,,,
NODE10620208,대한토목학회,대한토목학회지,"도로와 철도, 경쟁자인가 동반자인가? - 지속가능한 교통체계 구축을 위한 발전방안 제시 -","Roads and Railroads, Competitors or Companions? Proposal of Development Plan for Establishing a Sustainable Transport System",202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620208,공학,건축공학,"김일환, 백승걸, 이승원",,,
NODE10620209,대한토목학회,대한토목학회지,건설의 미래 도약 및 발전 (「미래토목기술위원회」 설문조사 결과를 기반으로),Development Process and the Future Prospect of Construction,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620209,공학,건축공학,"김영석, 윤형구",,,
NODE10620210,대한토목학회,대한토목학회지,인니 자카르타 수도권해안 종합개발사업 (NCICD : National Capital Coastal Development)과 한국농어촌공사의 해외사업,National Capital Integrated Coastal Development Program in Indonesia and KRC(Korea Rural Community Corporation) Overseas Project,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620210,공학,건축공학,"최낙원, 한종수",,,
NODE10620211,대한토목학회,대한토목학회지,[청파기행 No. 69] 몽골리아,Mongolia,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620211,공학,건축공학,심종성,,,
NODE10620212,대한토목학회,대한토목학회지,나의 대학생활을 돌아보며,Looking Back on My College Life,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620212,공학,건축공학,황인규,,,
NODE10620217,대한토목학회,대한토목학회지,"토목공학자, 그리고 내 인생의 터닝 포인트",Civil Engineer and a Turning Point in My Life,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620217,공학,건축공학,김정배,,,
NODE10620218,대한토목학회,대한토목학회지,내가 배낭가방을 메는 이유,The Reason I Carry a Backpack,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620218,공학,건축공학,임대성,,,
NODE10620219,대한토목학회,대한토목학회지,분묘기지 사용료 받을 수 있나?,The Right to Use Land for Tomb,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620219,공학,건축공학,김현,,,
NODE10620220,대한토목학회,대한토목학회지,[정민영의 미술이야기] 다시 세 권의 미술책에 취하다,Be Intoxicated with Three Art Books Again,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620220,공학,건축공학,정민영,,,
NODE10620221,대한토목학회,대한토목학회지,[조흡의 영화이야기] 〈모가디슈〉: 대중문화와 사회주의 리얼리즘의 충돌,〈Escape from Mogadishu〉: A Clash Between Pop Culture and Socialist Realism,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620221,공학,건축공학,조흡,,,
NODE10620222,대한토목학회,대한토목학회지,기후변화 대응 해외 수력 댐 적지 예비분석 자동화 시스템,Automatic System for Site Suitability Analysis of Hydropower Dam Considering Climate Change in Oversea Region,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620222,공학,건축공학,"배덕효, 김선호, 김진훈, 안준연",,,
NODE10620223,대한토목학회,대한토목학회지,최신토목뉴스,CIVIL NEWS,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620223,공학,건축공학,이승오,,,
NODE10620224,대한토목학회,대한토목학회지,(주)담원,"Damwon Co., Ltd",202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620224,공학,건축공학,남궁돈,,,
NODE10620225,대한토목학회,대한토목학회지,"FLUID MECHANICS, HYDRAULICS, HYDROLOGY AND WATER RESOURCES FOR CIVIL ENGINEERS : by Amithirigala Widhanelage Jayawardena","FLUID MECHANICS, HYDRAULICS, HYDROLOGY AND WATER RESOURCES FOR CIVIL ENGINEERS : by Amithirigala Widhanelage Jayawardena",202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620225,공학,건축공학,송창근,,,
NODE10620226,대한토목학회,대한토목학회지,국제소식(ASCE 주요기사) 외,Main Articles of the International Monthly Magazines etc.,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620226,공학,건축공학,"송창근, 이승오",,,
NODE10620227,대한토목학회,대한토목학회지,법 · 제도개선위원회 - 미래비전원 비전 2센터 제4차 Brief 발표 및 토론회 외,,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620227,공학,건축공학,편집부,,,
NODE10620228,대한토목학회,대한토목학회지,편집후기,,202111,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620228,공학,건축공학,이승오,,,
NODE10620493,한국정보전자통신기술학회,한국정보전자통신기술학회 논문지,편집위원회 규정 외,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620493,공학,전기전자공학,편집부,,,
NODE10620699,한국건축친환경설비학회,건축환경설비,Human-Building Interaction(HBI),Human-Building Interaction(HBI),202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620699,공학,건축공학,차승현,,,
NODE10673957,대한설비공학회,설비저널,회보 외,,202112,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10673957,공학,기계공학,편집부,,,
NODE10673968,대한설비공학회,설비저널,대한설비공학회 창립 50주년 기념 2021년도 동계학술발표대회 및 정기총회 개최 : 제9회 HVAC 경진대회 / 제3회 유튜브 콘텐츠 경진대회 외,,202112,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10673968,공학,기계공학,편집부,,,
NODE10620414,한국추진공학회,한국추진공학회지,한국추진공학회 윤리규정,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620414,공학,기계공학,편집부,,,
NODE10620424,대한국토·도시계획학회,도시정보,"프롭테크, 도시를 혁신하다",,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620424,공학,건축공학,안성우,,,
NODE10620425,대한국토·도시계획학회,도시정보,프롭테크의 등장과 부동산 산업에서 빅데이터·AI의 활용,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620425,공학,건축공학,임하나,,,
NODE10620426,대한국토·도시계획학회,도시정보,빅데이터가 혁신하는 도시계획,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620426,공학,건축공학,구름,,,
NODE10620427,대한국토·도시계획학회,도시정보,메타버스와 부동산 산업의 미래,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620427,공학,건축공학,안호준,,,
NODE10620428,대한국토·도시계획학회,도시정보,빅데이터와 인공지능을 통한 스마트 토지개발,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620428,공학,건축공학,임혜연,,,
NODE10620429,대한국토·도시계획학회,도시정보,Interview–2: 최근 영국 주택난과 주택정책 동향,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620429,공학,건축공학,"Nick Gallent, 김대순",,,
NODE10620435,대한국토·도시계획학회,도시정보,학생기자단 취재리포트,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620435,공학,건축공학,하윤서,,,
NODE10620437,대한국토·도시계획학회,도시정보,都市計劃界 動靜,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620437,공학,건축공학,편집부,,,
NODE11217568,한국콘크리트학회,콘크리트학회 논문집,Author Guidelines and Submission Procedure for Journal of the Korea Concrete Institute etc.,Author Guidelines and Submission Procedure for Journal of the Korea Concrete Institute etc.,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217568,공학,건축공학,편집부,,,
NODE11217589,유공압건설기계학회,드라이브·컨트롤,「수소충전기술」 특집호 발간에 즈음하여,,202303,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217589,공학,기계공학,지상원,,,
NODE11217590,유공압건설기계학회,드라이브·컨트롤,한국가스기술공사 수소산업전주기제품안전성지원센터 소개,Introduction of Hydrogen Industry Overall-lifecycle Product Safety Support Center,202303,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217590,공학,기계공학,"나희승, 전태현",,,
NODE11217591,유공압건설기계학회,드라이브·컨트롤,수소충전소 및 충전소부품 인허가 절차와 보급계획,Hydrogen filling station and components inspection procedure and supply plan,202303,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217591,공학,기계공학,김완진,,,
NODE11217592,유공압건설기계학회,드라이브·컨트롤,수소전기차 다차종 동시충전을 위한 광역수소충전소 핵심기술 개발,Development of high speed and multiple hydrogen charging technologies for FCEV refueling stations,202303,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217592,공학,기계공학,"정길성, 공임모",,,
NODE11217594,유공압건설기계학회,드라이브·컨트롤,학회소식 외,,202303,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217594,공학,기계공학,편집부,,,
NODE11217617,대한용접·접합학회,대한용접·접합학회지,신년사,,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217617,공학,기계공학,박정웅,,,
NODE11217618,대한용접·접합학회,대한용접·접합학회지,학회상 수상자 소개,,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217618,공학,기계공학,편집부,,,
NODE11217627,대한용접·접합학회,대한용접·접합학회지,Instruction for Authors etc.,Instruction for Authors etc.,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217627,공학,기계공학,편집부,,,
NODE11217637,Korean Institute of Information Scientists and Engineers,Journal of Computing Science and Engineering,INSTRUCTIONS FOR AUTHORS,INSTRUCTIONS FOR AUTHORS,202212,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217637,공학,컴퓨터학,편집부,,,
NODE11217651,(사)한국CDE학회,한국CDE학회 논문집,INSTRUCTIONS FOR AUTHORS SOCIETY FOR COMPUTATIONAL DESIGN AND ENGINEERING etc.,INSTRUCTIONS FOR AUTHORS SOCIETY FOR COMPUTATIONAL DESIGN AND ENGINEERING etc.,202303,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217651,공학,기계공학,편집부,,,
NODE11217684,한국철도학회,철도저널,"한국철도학회 회원 여러분, 2023년 새해에도 건승하시길 빕니다.",,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217684,공학,기타 공학,구정서,,,
NODE11217685,한국철도학회,철도저널,철도차량 에너지저감 기술개발 동향,,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217685,공학,기타 공학,"오혁근, 최성훈, 김석원",,,
NODE11217686,한국철도학회,철도저널,신규 관광열차 도입을 위한 형식승인제도 대응방안 검토,,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217686,공학,기타 공학,"권혁빈, 김나영, 김범수, 김한수",,,
NODE11217687,한국철도학회,철도저널,경량 · 소형 인보드대차 기술,,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217687,공학,기타 공학,"최성훈, 김석원, 신지환",,,
NODE11217688,한국철도학회,철도저널,레이더 위성정보 기반 철도시설 변형 모니터링 기술,,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217688,공학,기타 공학,"김병규, 이창길, 김겨울, 이일화",,,
NODE11217689,한국철도학회,철도저널,분기기의 선형틀림이 차량의 동적 거동에 미치는 영향,,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217689,공학,기타 공학,서사범,,,
NODE11217694,한국철도학회,철도저널,한국철도기술 발달사(22),,202302,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11217694,공학,기타 공학,송달호,,,
NODE11527828,한국전산유체공학회,한국전산유체공학회지,Instructions for Authors etc.,Instructions for Authors etc.,202309,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11527828,공학,기계공학,편집부,,,
NODE11795389,한국콘크리트학회,콘크리트학회지,포스트텐션 텐던의 그라우트 보수 시공지침,Guideline of Grout Repair in Post-tensioned Tendon,202405,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11795389,공학,건축공학,"김영진, 전세진, 심별, 성연규, 김지수, 차범진, 정중근",,,
NODE11795390,한국콘크리트학회,콘크리트학회지,순천시 신청사 건립사업 건축공사,Construction Work on Suncheon City New Building Project,202405,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11795390,공학,건축공학,"양진호, 남근원, 조인성, 류기윤, 배주현",,,
NODE11910218,한국해양공학회,한국해양공학회지,Instructions for Authors etc.,Instructions for Authors etc.,202408,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11910218,공학,조선해양공학,편집부,,,
NODE11910354,한국지반환경공학회,한국지반환경공학회 논문집,[Corrigendum] 산/염기 개질활성탄을 이용한 유기오염물질 오염 퇴적토 안정화를 위한 적용성 연구,Applications of Acid/Base Modified Activated Carbon for Stabilization of Sediment Contaminated with Organic Compounds,202409,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11910354,공학,건축공학,"강승현, 박재우",,,
NODE11910357,한국지반환경공학회,한국지반환경공학회 논문집,Instructions to Authors etc.,Instructions to Authors etc.,202409,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11910357,공학,건축공학,편집부,,,
NODE11940460,Korean Institute of Information Scientists and Engineers,정보과학회지,로봇 시뮬레이션에서 다중 접촉 모델링 기술 동향,,202410,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11940460,공학,컴퓨터학,"이정민, 이동준",,,
NODE11940463,Korean Institute of Information Scientists and Engineers,정보과학회지,"[기관탐방] 비전 AI 로봇 전문 기업, CMES",,202410,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11940463,공학,컴퓨터학,손영성,,,
NODE11940464,Korean Institute of Information Scientists and Engineers,정보과학회지,[논문초록] 정보과학회논문지 9월호,,202410,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11940464,공학,컴퓨터학,편집부,,,
NODE11911822,한국수소및신에너지학회,한국수소및신에너지학회논문집,한국수소및신에너지학회 논문집 투고규정 외,,202408,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11911822,공학,기계공학,편집부,,,
NODE12021961,한국지반공학회,지반(한국지반공학회지),국제학술대회 소식 외,International Conference ＆ Symposium etc.,202501,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12021961,공학,건축공학,편집부,,,
NODE12021962,한국지반공학회,지반(한국지반공학회지),600일된 아이와 떠난 캐나다 겨울 여행,,202501,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12021962,공학,건축공학,"정민아, 오재철",,,
NODE11407192,대한기계학회,기계저널,[이 달의 화보] ISO 18436 기준 회전기계 진동 기초 및 교정 기술 교육 외,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407192,공학,기계공학,편집부,,,
NODE11407193,대한기계학회,기계저널,[인터뷰] ㈜메타바이오메드 오석송 회장,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407193,공학,기계공학,장원석,,,
NODE11407194,대한기계학회,기계저널,"[소프트웨어 정보] Simcenter 3D, 소음 해석 모듈: acoustic simulation",,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407194,공학,기계공학,원영수,,,
NODE11407195,대한기계학회,기계저널,[신제품] 현대자동차 - 디 올 뉴 코나 일렉트릭,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407195,공학,기계공학,편집부,,,
NODE11407196,대한기계학회,기계저널,"[신제품] HD현대인프라코어 - 10t급 불도저, DD100",,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407196,공학,기계공학,편집부,,,
NODE11407197,대한기계학회,기계저널,[신기술 정보] 유기 태양 전지를 활용한 영농형 태양광 발전 기술,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407197,공학,기계공학,김정진,,,
NODE11407198,대한기계학회,기계저널,[특별회원 동정] 한국남동발전 정부 동반 성장 실적평가 ‘최우수 등급’ 달성 외,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407198,공학,기계공학,편집부,,,
NODE11407199,대한기계학회,기계저널,모빌리티 전환 시대의 신뢰성,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407199,공학,기계공학,"한창운, 한봉태",,,
NODE11407200,대한기계학회,기계저널,국내 e-모빌리티 산업 생태계 구축과 신뢰성 확보,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407200,공학,기계공학,나종관,,,
NODE11407201,대한기계학회,기계저널,UAM과 신뢰성,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407201,공학,기계공학,김성찬,,,
NODE11407202,대한기계학회,기계저널,미래 환경과 수소 경제,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407202,공학,기계공학,박종찬,,,
NODE11407203,대한기계학회,기계저널,수소 기자재의 신뢰성 중심 상태 감시 방법론,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407203,공학,기계공학,류경하,,,
NODE11407204,대한기계학회,기계저널,[전문가 연재] 스마트 자동차 신기술과 자동차 효율 향상 방안(9),,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407204,공학,기계공학,박만재,,,
NODE11407205,대한기계학회,기계저널,대한기계학회 2023년 주요일정,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407205,공학,기계공학,편집부,,,
NODE11407208,대한기계학회,기계저널,[한국사 이야기] 절도범의 얼굴에 새겨진 ‘절도’ 두 글자,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407208,공학,기계공학,신현배,,,
NODE11407209,대한기계학회,기계저널,[특허 소식] 세계를 선도할 여성 발명가를 찾습니다! 외,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407209,공학,기계공학,편집부,,,
NODE11407210,대한기계학회,기계저널,"[논문집 목차] 대한기계학회논문집 A·B(47-4), JMST(37-4)",,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407210,공학,기계공학,편집부,,,
NODE11407211,대한기계학회,기계저널,[학회 소식] 2023년 제4차 이사회 개최 완료,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407211,공학,기계공학,편집부,,,
NODE11407212,대한국토·도시계획학회,도시정보,주택 · 도시 개발과 관리에 있어 주택도시기금의 역할,,202304,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407212,공학,건축공학,전재범,,,
NODE11407248,대한전기학회,전기학회논문지,Submission Checklist/KIEE COPYRIGHT FORM,Submission Checklist/KIEE COPYRIGHT FORM,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11407248,공학,전기전자공학,편집부,,,
NODE11428903,한국전자파학회,한국전자파학회논문지,한국전자파학회 논문지 투고 규정 외,,202305,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11428903,공학,전기전자공학,편집부,,,
NODE11428945,한국신뢰성학회,신뢰성응용연구,신뢰성응용연구 투고규정 외,,202306,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11428945,공학,산업공학,편집부,,,
